athlete_id,video_id,sample_number,exercise_type,primary_joint_min_angle,primary_joint_max_angle,torso_deviation_degrees,range_of_motion_degrees,stability_score,movement_speed,assessment_duration_seconds,landmark_confidence,visibility_score,label
F0101,V0101,1,pushup,73,170,3,87,86.5,0.56,1.7,0.92,0.93,correct
F0101,V0101,2,pushup,98,150,21,47,56.5,0.81,1.2,0.8,0.83,incorrect
F0102,V0102,1,pushup,76,167,4,91,92.5,0.62,1.75,0.93,0.95,correct
F0102,V0102,2,pushup,101,147,22,51,62.5,0.87,1.25,0.81,0.85,incorrect
F0103,V0103,1,pushup,74,169,5,95,88,0.68,1.8,0.94,0.97,correct
F0103,V0103,2,pushup,99,149,23,55,58,0.93,1.3,0.82,0.87,incorrect
F0104,V0104,1,pushup,77,166,6,99,94,0.59,1.85,0.95,0.94,correct
F0104,V0104,2,pushup,102,146,24,59,64,0.84,1.35,0.83,0.84,incorrect
F0105,V0105,1,pushup,75,168,,89,89.5,0.65,1.9,0.96,0.96,correct
F0105,V0105,2,pushup,100,148,25,49,59.5,0.9,1.4,0.84,0.86,incorrect
F0106,V0106,1,pushup,73,170,3,93,95.5,0.56,1.7,0.92,0.93,correct
F0106,V0106,2,pushup,98,150,21,53,65.5,0.81,1.2,0.8,0.83,incorrect
F0107,V0107,1,pushup,76,167,4,97,91,0.62,1.75,0.93,0.95,correct
F0107,V0107,2,pushup,101,147,22,57,61,0.87,1.25,0.81,0.85,incorrect
F0108,V0108,1,pushup,74,169,5,87,86.5,0.68,1.8,0.94,0.97,correct
F0108,V0108,2,pushup,99,149,23,47,56.5,0.93,1.3,0.82,0.87,incorrect
F0201,V0201,1,squat,64,171,7,101,86,0.52,2.15,0.93,0.94,correct
F0201,V0201,2,squat,89,151,25,61,56,0.77,1.53,0.81,0.84,incorrect
F0202,V0202,1,squat,67,168,8,105,92,0.58,2.2,0.94,0.96,correct
F0202,V0202,2,squat,92,148,26,65,62,0.83,1.58,0.82,0.86,incorrect
F0203,V0203,1,squat,65,170,9,109,87.5,0.49,2.25,0.95,0.93,correct
F0203,V0203,2,squat,90,150,27,69,57.5,0.74,1.63,0.83,0.83,incorrect
F0204,V0204,1,squat,63,172,10,99,93.5,0.55,2.3,0.96,0.95,correct
F0204,V0204,2,squat,88,152,28,59,63.5,0.8,1.68,0.84,0.85,incorrect
F0205,V0205,1,squat,66,169,6,103,89,0.61,2.1,0.92,0.97,correct
F0205,V0205,2,squat,91,149,24,63,59,0.86,1.48,0.8,0.87,incorrect
F0206,V0206,1,squat,64,171,7,107,84.5,0.52,2.15,0.93,0.94,correct
F0206,V0206,2,squat,89,151,25,67,54.5,0.77,1.53,0.81,0.84,incorrect
F0207,V0207,1,squat,67,168,8,111,90.5,0.58,2.2,0.94,0.96,correct
F0207,V0207,2,squat,92,148,26,71,60.5,0.83,1.58,0.82,0.86,incorrect
F0208,V0208,1,squat,65,170,9,101,86,0.49,2.25,0.95,0.93,correct
F0208,V0208,2,squat,90,150,27,61,56,0.74,1.63,0.83,0.83,incorrect
F0301,V0301,1,deadlift,78,174,7,94,88.5,0.45,2.5,0.94,0.95,correct
F0301,V0301,2,deadlift,103,154,25,54,58.5,0.7,1.8,0.82,0.85,incorrect
F0302,V0302,1,deadlift,76,176,8,98,94.5,0.51,2.55,0.95,0.97,correct
F0302,V0302,2,deadlift,101,156,26,58,,0.76,1.85,0.83,0.87,incorrect
F0303,V0303,1,deadlift,79,173,9,102,90,0.42,2.6,0.96,0.94,correct
F0303,V0303,2,deadlift,104,153,27,62,60,0.67,1.9,0.84,0.84,incorrect
F0304,V0304,1,deadlift,77,175,5,92,85.5,0.48,2.4,0.92,0.96,correct
F0304,V0304,2,deadlift,102,155,23,52,55.5,0.73,1.7,0.8,0.86,incorrect
F0305,V0305,1,deadlift,80,172,6,96,91.5,0.39,2.45,0.93,0.93,correct
F0305,V0305,2,deadlift,105,152,24,56,61.5,0.64,1.75,0.81,0.83,incorrect
F0306,V0306,1,deadlift,78,174,7,100,87,0.45,2.5,0.94,0.95,correct
F0306,V0306,2,deadlift,103,154,25,60,57,0.7,1.8,0.82,0.85,incorrect
F0307,V0307,1,deadlift,76,176,8,90,93,0.51,2.55,0.95,0.97,correct
F0307,V0307,2,deadlift,101,156,26,50,63,0.76,1.85,0.83,0.87,incorrect
F0308,V0308,1,deadlift,79,173,9,94,88.5,0.42,2.6,0.96,0.94,correct
F0308,V0308,2,deadlift,104,153,27,54,58.5,0.67,1.9,0.84,0.84,incorrect
F0401,V0401,1,running,56,164,7,110,86,3.53,7.25,0.95,0.96,correct
F0401,V0401,2,running,81,144,25,70,56,3.78,5.23,0.83,0.86,incorrect
F0402,V0402,1,running,54,166,8,114,81.5,3.44,7.3,0.96,0.93,correct
F0402,V0402,2,running,79,146,26,74,51.5,3.69,5.28,0.84,0.83,incorrect
F0403,V0403,1,running,57,163,4,104,87.5,3.5,7.1,0.92,0.95,correct
F0403,V0403,2,running,82,143,22,64,57.5,3.75,5.08,0.8,0.85,incorrect
F0404,V0404,1,running,55,165,5,108,83,3.56,7.15,0.93,0.97,correct
F0404,V0404,2,running,80,145,23,68,53,3.81,5.13,0.81,0.87,incorrect
F0405,V0405,1,running,53,167,6,112,89,3.47,7.2,0.94,0.94,correct
F0405,V0405,2,running,78,147,24,72,59,3.72,5.18,0.82,0.84,incorrect
F0406,V0406,1,running,56,164,7,116,84.5,3.53,7.25,0.95,0.96,correct
F0406,V0406,2,running,81,144,25,76,54.5,3.78,5.23,0.83,0.86,incorrect
F0407,V0407,1,running,54,166,8,106,90.5,3.44,7.3,0.96,0.93,correct
F0407,V0407,2,running,79,146,26,66,60.5,3.69,5.28,0.84,0.83,incorrect
F0408,V0408,1,running,57,163,4,110,86,3.5,7.1,0.92,0.95,correct
F0408,V0408,2,running,82,143,22,70,56,3.75,5.08,0.8,0.85,incorrect
F0501,V0501,1,situp,47,158,10,117,87.5,0.76,2.1,0.96,0.97,correct
F0501,V0501,2,situp,72,138,28,77,57.5,1.01,1.54,0.84,0.87,incorrect
F0502,V0502,1,situp,45,160,6,121,83,0.67,1.9,0.92,0.94,correct
F0502,V0502,2,situp,70,140,24,81,53,0.92,1.34,0.8,0.84,incorrect
F0503,V0503,1,situp,43,162,7,111,89,0.73,1.95,0.93,0.96,correct
F0503,V0503,2,situp,68,142,25,71,59,0.98,1.39,0.81,0.86,incorrect
F0504,V0504,1,situp,46,159,8,115,84.5,0.64,2,,0.93,correct
F0504,V0504,2,situp,71,139,26,75,54.5,0.89,1.44,0.82,0.83,incorrect
F0505,V0505,1,situp,44,161,9,119,90.5,0.7,2.05,0.95,0.95,correct
F0505,V0505,2,situp,69,141,27,79,60.5,0.95,1.49,0.83,0.85,incorrect
F0506,V0506,1,situp,47,158,10,109,86,0.76,2.1,0.96,0.97,correct
F0506,V0506,2,situp,72,138,28,69,56,1.01,1.54,0.84,0.87,incorrect
F0507,V0507,1,situp,45,160,6,113,81.5,0.67,1.9,0.92,0.94,correct
F0507,V0507,2,situp,70,140,24,73,51.5,0.92,1.34,0.8,0.84,incorrect
F0508,V0508,1,situp,43,162,7,117,87.5,0.73,1.95,0.93,0.96,correct
F0508,V0508,2,situp,68,142,25,77,57.5,0.98,1.39,0.81,0.86,incorrect
F0601,V0601,1,plank,158,180,2,22,96,0.04,56,0.92,0.93,correct
F0601,V0601,2,plank,136,166,20,30,66,0.29,39.2,0.8,0.83,incorrect
F0602,V0602,1,plank,161,177,3,12,91.5,0.1,58,0.93,0.95,correct
F0602,V0602,2,plank,139,163,21,24,61.5,0.35,41.2,0.81,0.85,incorrect
F0603,V0603,1,plank,159,179,4,16,97.5,0.16,60,0.94,0.97,correct
F0603,V0603,2,plank,137,165,22,28,67.5,0.41,43.2,0.82,0.87,incorrect
F0604,V0604,1,plank,162,176,5,20,93,0.07,62,0.95,0.94,correct
F0604,V0604,2,plank,140,162,23,22,63,0.32,45.2,0.83,0.84,incorrect
F0605,V0605,1,plank,160,178,6,24,88.5,0.13,64,0.96,0.96,correct
F0605,V0605,2,plank,138,164,24,26,58.5,0.38,47.2,0.84,0.86,incorrect
F0606,V0606,1,plank,158,180,2,14,94.5,0.04,56,0.92,0.93,correct
F0606,V0606,2,plank,136,166,20,30,64.5,0.29,39.2,0.8,0.83,incorrect
F0607,V0607,1,plank,161,177,3,18,90,0.1,58,0.93,0.95,correct
F0607,V0607,2,plank,139,163,21,24,60,0.35,41.2,0.81,0.85,incorrect
F0608,V0608,1,plank,159,179,4,22,96,0.16,60,0.94,0.97,correct
F0608,V0608,2,plank,137,165,22,28,66,0.41,43.2,0.82,0.87,incorrect
F0701,V0701,1,vertical_jump,59,176,6,121,92.5,1.97,1.45,0.93,0.94,correct
F0701,V0701,2,vertical_jump,84,156,24,81,62.5,2.22,1.03,0.81,0.84,incorrect
F0702,V0702,1,vertical_jump,62,173,7,111,88,2.03,1.5,0.94,0.96,correct
F0702,V0702,2,vertical_jump,87,153,25,71,58,2.28,1.08,0.82,0.86,incorrect
F0703,V0703,1,vertical_jump,60,175,8,115,83.5,1.94,1.55,0.95,0.93,correct
F0703,V0703,2,vertical_jump,85,155,26,75,53.5,2.19,1.13,0.83,0.83,incorrect
F0704,V0704,1,vertical_jump,58,177,9,119,89.5,2,1.6,0.96,0.95,correct
F0704,V0704,2,vertical_jump,83,157,27,79,59.5,2.25,1.18,0.84,0.85,incorrect
F0705,V0705,1,vertical_jump,61,174,5,109,85,2.06,1.4,0.92,0.97,correct
F0705,V0705,2,vertical_jump,86,154,23,69,55,2.31,0.98,0.8,0.87,incorrect
F0706,V0706,1,vertical_jump,59,176,6,113,91,1.97,1.45,0.93,0.94,correct
F0706,V0706,2,vertical_jump,84,156,24,73,61,2.22,1.03,0.81,0.84,incorrect
F0707,V0707,1,vertical_jump,62,173,7,117,86.5,2.03,1.5,0.94,0.96,correct
F0707,V0707,2,vertical_jump,87,153,25,77,56.5,2.28,1.08,0.82,0.86,incorrect
F0708,V0708,1,vertical_jump,60,175,8,121,92.5,1.94,1.55,0.95,0.93,correct
F0708,V0708,2,vertical_jump,85,155,26,81,62.5,2.19,1.13,0.83,0.83,incorrect
F0101,V0101,1,pushup,73,170,3,87,86.5,0.56,1.7,0.92,0.93,correct
