athlete_id,age,gender,height_cm,weight_kg,pushup_count,squat_count,deadlift_reps,running_50m_seconds,situp_count,plank_duration_seconds,vertical_jump_cm,talent_level,recommended_sport
ATH0001,14,Male,154,44.2,2,10,0,8.68,6,11,21,Beginner,Athletics
ATH0002,17,Female,161,53.8,12,24,3,9.59,14,35,28,Beginner,Football or Hockey
ATH0003,20,Male,168,63.4,22,12,6,9.33,22,59,35,Beginner,Basketball or Volleyball
ATH0004,23,Female,175,63.1,6,26,0,9.07,30,31,26.6,Beginner,Weightlifting or Wrestling
ATH0005,16,Male,182,72.7,16,14,3,8.81,12,55,33.6,Beginner,General Multi-Sport Development
ATH0006,19,Female,,51.7,26,28,6,9.72,20,27,25.2,Beginner,Athletics
ATH0007,22,Male,162,51.4,10,16,0,9.46,28,51,32.2,Beginner,Football or Hockey
ATH0008,15,Female,169,61,20,30,3,9.2,10,23,23.8,Beginner,Basketball or Volleyball
ATH0009,18,Other,176,70.6,4,18,6,8.94,18,47,30.8,Beginner,Weightlifting or Wrestling
ATH0010,21,Female,183,70.3,14,32,0,8.68,26,19,22.4,Beginner,General Multi-Sport Development
ATH0011,14,Male,156,49.3,24,20,3,9.59,8,43,29.4,Beginner,Athletics
ATH0012,17,Female,163,58.9,8,34,6,9.33,16,15,21,Beginner,Football or Hockey
ATH0013,20,Male,170,58.6,18,22,0,9.07,24,39,28,Beginner,Basketball or Volleyball
ATH0014,23,Female,177,68.2,2,10,3,8.81,6,11,35,Beginner,Weightlifting or Wrestling
ATH0015,16,Male,184,77.8,12,24,6,9.72,14,35,26.6,Beginner,General Multi-Sport Development
ATH0016,19,Female,157,46.9,22,12,0,9.46,22,59,33.6,Beginner,Athletics
ATH0017,22,Male,164,56.5,6,26,3,9.2,30,31,25.2,Beginner,Football or Hockey
ATH0018,15,,171,66.1,16,14,6,8.94,12,55,32.2,Beginner,Basketball or Volleyball
ATH0019,18,Other,178,65.8,26,28,0,8.68,20,27,23.8,Beginner,Weightlifting or Wrestling
ATH0020,21,Female,185,75.4,10,16,3,9.59,28,51,30.8,Beginner,General Multi-Sport Development
ATH0021,16,Female,159,49.8,14,26,5,7.81,20,45,32.4,Intermediate,Football or Hockey
ATH0022,19,Male,166,59.4,24,40,8,8.72,28,69,39.4,Intermediate,Basketball or Volleyball
ATH0023,22,Female,173,69,34,28,11,8.46,36,41,31,Intermediate,Weightlifting or Wrestling
ATH0024,15,Male,180,68.7,18,42,5,8.2,18,65,38,Intermediate,General Multi-Sport Development
ATH0025,18,Female,187,78.3,28,30,8,7.94,26,89,45,Intermediate,Athletics
ATH0026,21,Male,160,57.3,12,44,11,7.68,34,61,36.6,Intermediate,Football or Hockey
ATH0027,14,Female,167,57,22,32,5,8.59,42,85,43.6,Intermediate,Basketball or Volleyball
ATH0028,17,Other,174,66.6,32,46,8,8.33,24,57,35.2,Intermediate,Weightlifting or Wrestling
ATH0029,20,Female,181,76.2,16,34,11,8.07,32,,42.2,Intermediate,General Multi-Sport Development
ATH0030,23,Male,154,45.3,26,48,5,7.81,40,53,33.8,Intermediate,Athletics
ATH0031,16,Female,161,54.9,36,36,8,8.72,22,77,40.8,Intermediate,Football or Hockey
ATH0032,19,Male,168,64.5,20,24,11,8.46,30,49,32.4,Intermediate,Basketball or Volleyball
ATH0033,22,Female,175,64.2,30,38,5,8.2,38,73,39.4,Intermediate,Weightlifting or Wrestling
